time_s,original,denoised,removed_noise
0.343994140625,-0.032,-0.05081314151501581,0.001891391130358599
0.34423828125,-0.032,-0.039840390582465614,0.001107282479953039
0.344482421875,-0.039,-0.02948940827454172,0.0002060594941688955
0.3447265625,-0.016,-0.019125367578158848,-0.0004951989633559822
0.344970703125,-0.008,-0.009018961459603635,-0.000909739180365097
0.34521484375,0.0,0.0008656785935623156,-0.0009887453143150734
0.345458984375,0.032,0.010471374338956039,-0.0007875188969263294
0.345703125,0.024,0.019224609232495464,-0.0005066343165899596
0.345947265625,0.039,0.02759053186757172,-0.0001723665573727416
0.34619140625,0.039,0.03565815216997058,0.0001371486693580148
0.346435546875,0.047,0.04378667296585681,0.0004075375023087635
0.3466796875,0.071,0.052028139910569995,0.0005902795633939283
0.346923828125,0.063,0.06001899398100714,0.0005994216589840861
0.34716796875,0.071,0.06820835652417001,0.0005400837796721869
0.347412109375,0.079,0.07670702040638155,0.0004830708712767847
0.34765625,0.102,0.08531549089034353,0.0004373831872540953
0.347900390625,0.095,0.09353823413641847,0.0003580685338663643
0.34814453125,0.102,0.10163317255951103,0.0003330887218582502
0.348388671875,0.11,0.10961436691778371,0.0003867666249842176
0.3486328125,0.142,0.11713900306437772,0.0004391243126231041
0.348876953125,0.134,0.12338181487856968,0.0003183814406276224
0.34912109375,0.142,0.1286343811775762,8.259330768563263e-05
0.349365234375,0.142,0.13305700347073027,-0.000197137014908362
0.349609375,0.134,0.13707207983918282,-0.0003936529974773886
0.349853515625,0.15,0.1412794273325519,-0.000372404012322914
0.35009765625,0.142,0.14568487695971782,-0.000152794805434734
0.350341796875,0.15,0.15075556628248624,0.0002727705520713625
0.3505859375,0.15,0.1566079360573768,0.0008015888254551937
0.350830078125,0.181,0.1631740971859661,0.001260444782588335
0.35107421875,0.197,0.16947552036582178,0.001334307922820799
0.351318359375,0.197,0.17487309399162035,0.0008728500791740727
0.3515625,0.181,0.1795699765909823,3.292832450743255e-05
0.351806640625,0.189,0.18421690342868235,-0.0008356690367827405
0.35205078125,0.181,0.1889101199967995,-0.001455895108446736
0.352294921875,0.197,0.1938591096407888,-0.001591077124719385
0.3525390625,0.197,0.19868896103907424,-0.001217093768946131
0.352783203125,0.213,0.20318550355578247,-0.0004087741128620745
0.35302734375,0.213,0.20686014586809928,0.0006074027996355774
0.353271484375,0.229,0.20948289056207353,0.001587745075348992
0.353515625,0.221,0.21064470867752194,0.002256429645636334
0.353759765625,0.229,0.21049924326668518,0.002487429340801354
0.35400390625,0.213,0.2090720874055615,0.002219537447561573
0.354248046875,0.213,0.20693087805150448,0.001575144610281245
0.3544921875,0.205,0.20435073397434134,0.0006923866871377771
0.354736328125,0.213,0.20157199555224584,-0.0002646011070639809
0.35498046875,0.205,0.19844857109952374,-0.001184302205646786
0.355224609375,0.197,0.19521922795767552,-0.001886235994992018
0.35546875,0.197,0.19216196314272224,-0.002208438332284218
0.355712890625,0.181,0.18935579576365347,-0.002081527044483344
0.35595703125,0.189,0.18716681641320274,-0.001468589024241255
0.356201171875,0.197,0.1852193011879831,-0.0005533194643652569
0.3564453125,0.197,0.182998441494605,0.0004023388533955396
0.356689453125,0.197,0.18029561889951848,0.001199073634025667
0.35693359375,0.189,0.17702988521944105,0.001712441616632179
0.357177734375,0.173,0.17350449853964056,0.001953330407664597
0.357421875,0.173,0.17022312590666344,0.002014178817686872
0.357666015625,0.158,0.1673005050283939,0.001931328834907856
0.35791015625,0.173,0.16496478970724485,0.001746009652982122
0.358154296875,0.173,0.16260019559595865,0.001338978270833142
0.3583984375,0.173,0.15984963308023234,0.0006585604762100936
0.358642578125,0.173,0.15648992935548256,-0.0002633027578439984
0.35888671875,0.15,0.1524681755062805,-0.001293786905320246
0.359130859375,0.142,0.14845832471502057,-0.002129806253600242
0.359375,0.15,0.14466032075058782,-0.002575712198283224
0.359619140625,0.142,0.14073820385638766,-0.00259713484407982
0.35986328125,0.142,0.1367258013060507,-0.002165375612419417
0.360107421875,0.134,0.1325722149127069,-0.001334893162253259
0.3603515625,0.126,0.12842401930448458,-0.0001931021078443724
0.360595703125,0.126,0.12445219568282873,0.001114299322219001
0.36083984375,0.134,0.1204438689803978,0.002327611214367896
0.361083984375,0.118,0.11604488796642737,0.003166909205873437
